time,Open,High,Low,Close,VolumeFrom,VolumeTo
2025-03-15,1911.53,1957.41,1904.03,1937.46,143816.61,277588743.46
2025-03-16,1937.46,1940.83,1861.34,1886.94,236266.67,448389175.16
2025-03-17,1886.94,1952.31,1879.86,1926.41,284013.98,544239998.37
2025-03-18,1926.41,1935.75,1871.94,1931.53,296067.75,561709451.5
2025-03-19,1931.53,2070.73,1927.78,2056.92,557064.14,1121121085.82
2025-03-20,2056.92,2068.27,1951.62,1982.66,340451.01,678503902.02
2025-03-21,1982.66,1995.28,1936.31,1965.08,253358.58,497551382.23
2025-03-22,1965.08,2005.7,1963.88,1980.4,115518.94,229714664.93
2025-03-23,1980.4,2020.18,1976.7,2006.05,151408.75,302998157.14
2025-03-24,2006.05,2103.99,1977.97,2081.53,387473.82,800572022.69
2025-03-25,2081.53,2097.85,2037.56,2066.62,274400.44,567133150.85
2025-03-26,2066.62,2079.18,1981.68,2009.64,331520.12,672337092.62
2025-03-27,2009.64,2037.52,1986.9,2003.3,272617.81,548864029.08
2025-03-28,2003.3,2015.61,1861.15,1896.15,579310.91,1103644177.42
2025-03-29,1896.15,1912.48,1797.16,1827.68,370691.72,684034057.76
2025-03-30,1827.68,1848.29,1767.75,1807.48,340138.58,617668227.48
2025-03-31,1807.48,1853.97,1777.38,1822.14,504869.33,917704034.94
2025-04-01,1822.14,1927.88,1817.91,1905.23,448786.64,845243050.66
2025-04-02,1905.23,1955.36,1781.4,1794.63,681398.0,1280088185.31
2025-04-03,1794.63,1844.85,1750.85,1816.31,536404.18,960953835.92
2025-04-04,1816.31,1835.41,1758.61,1816.25,606949.32,1091295574.19
2025-04-05,1816.25,1826.56,1764.13,1805.19,153030.66,274947827.91
2025-04-06,1805.19,1816.3,1537.47,1579.65,836983.71,1375390891.8
2025-04-07,1579.65,1632.05,1412.16,1552.42,1727049.97,2651234444.53
2025-04-08,1552.42,1618.09,1445.86,1472.15,872998.71,1332975047.94
2025-04-09,1472.15,1688.31,1384.7,1669.0,1364371.96,2073024511.21
2025-04-10,1669.0,1669.34,1472.07,1521.51,854187.14,1330455912.67
2025-04-11,1521.51,1590.22,1504.16,1566.02,572878.43,891270709.03
2025-04-12,1566.02,1668.92,1545.25,1643.84,376902.52,610788400.42
2025-04-13,1643.84,1649.32,1562.63,1597.18,510676.97,819443109.52
2025-04-14,1597.18,1691.0,1595.15,1623.79,576057.97,946070662.59
2025-04-15,1623.79,1660.77,1583.09,1588.7,503230.46,816144949.08
2025-04-16,1588.7,1613.08,1538.57,1577.24,563383.73,890121272.88
2025-04-17,1577.24,1616.72,1563.01,1583.68,407994.55,649565838.07
2025-04-18,1583.68,1600.45,1573.8,1588.56,181077.59,287426875.95
2025-04-19,1588.56,1628.78,1585.02,1612.74,189936.64,304710533.5
2025-04-20,1612.74,1618.66,1565.79,1587.31,219107.56,348453526.51
2025-04-21,1587.31,1658.13,1564.65,1579.7,518764.88,836176542.33
2025-04-22,1579.7,1778.41,1539.87,1757.04,824531.74,1378567169.81
2025-04-23,1757.04,1833.67,1746.08,1795.87,787466.37,1411088123.18
2025-04-24,1795.87,1803.32,1723.07,1770.44,493136.05,869951343.89
2025-04-25,1770.44,1828.79,1739.84,1785.94,574947.84,1028226623.47
2025-04-26,1785.94,1841.59,1780.01,1821.45,296814.99,535455658.73
2025-04-27,1821.45,1857.74,1783.01,1791.85,287345.16,520004273.7
2025-04-28,1791.85,1827.96,1745.4,1800.19,579690.15,1035461893.1
2025-04-29,1800.19,1843.4,1780.77,1798.47,445834.21,808620394.56
2025-04-30,1798.47,1817.08,1732.54,1793.83,434187.94,773685384.34
2025-05-01,1793.83,1873.95,1792.84,1838.83,408309.83,751083284.45
2025-05-02,1838.83,1871.48,1813.65,1842.84,312353.27,575346916.02
2025-05-03,1842.84,1848.87,1810.54,1833.95,159325.43,291868877.83
2025-05-04,1833.95,1850.27,1803.35,1809.0,183495.56,335700955.44
2025-05-05,1809.0,1833.48,1782.21,1820.05,307724.7,556587730.73
2025-05-06,1820.05,1820.63,1751.42,1816.98,341452.01,609473060.9
2025-05-07,1816.98,1850.42,1787.31,1811.34,414598.63,754227976.34
2025-05-08,1811.34,2225.39,1808.97,2207.19,973009.58,1973692015.1
2025-05-09,2207.19,2490.71,2184.12,2345.32,1127768.48,2617510161.4
2025-05-10,2345.32,2600.37,2318.3,2583.77,729215.95,1784431662.12
2025-05-11,2583.77,2607.64,2439.78,2514.75,602145.86,1513299417.69
2025-05-12,2514.75,2624.32,2408.1,2495.56,814598.79,2051277136.7
2025-05-13,2495.56,2739.27,2415.76,2680.04,728245.57,1873346978.72
2025-05-14,2680.04,2725.04,2548.0,2610.07,588072.14,1542184822.16
2025-05-15,2610.07,2646.75,2478.7,2549.0,598296.89,1528520349.7
2025-05-16,2549.0,2649.18,2530.01,2537.78,460555.06,1190470675.39
2025-05-17,2537.78,2538.25,2447.65,2476.16,357295.75,887082740.0
2025-05-18,2476.16,2587.97,2326.5,2498.72,537891.9,1329246436.5
2025-05-19,2498.72,2547.45,2349.55,2528.66,710321.72,1740260302.28
2025-05-20,2528.66,2588.36,2444.2,2525.1,445742.9,1121450524.59
2025-05-21,2525.1,2617.03,2454.01,2552.21,710507.3,1802437428.43
2025-05-22,2552.21,2692.69,2546.12,2665.1,577731.69,1523259393.19
2025-05-23,2665.1,2733.44,2502.42,2526.9,647152.36,1688250894.58
2025-05-24,2526.9,2576.3,2515.98,2530.92,182525.0,464730641.55
2025-05-25,2530.92,2555.0,2464.25,2552.23,235037.8,589652070.16
2025-05-26,2552.23,2600.15,2527.36,2564.47,230814.8,590861351.31
2025-05-27,2564.47,2713.33,2511.1,2662.0,484940.99,1280752626.8
2025-05-28,2662.0,2689.79,2611.05,2682.1,364903.23,965255963.52
2025-05-29,2682.1,2788.28,2620.36,2631.82,525703.44,1415485994.05
2025-05-30,2631.82,2649.44,2508.97,2531.79,418659.47,1083869480.12
2025-05-31,2531.79,2551.37,2479.94,2529.32,198221.35,500287625.87
2025-06-01,2529.32,2549.01,2470.58,2540.45,203463.76,512156252.24
2025-06-02,2540.45,2616.44,2476.59,2609.07,349478.71,884892086.43
2025-06-03,2609.07,2657.23,2583.3,2594.88,409845.38,1073527716.78
2025-06-04,2594.88,2680.55,2585.02,2608.28,326189.58,858114267.83
2025-06-05,2608.28,2641.72,2393.11,2415.85,532239.12,1351426110.77
2025-06-06,2415.85,2532.69,2385.42,2478.31,349992.74,865502968.12
2025-06-07,2478.31,2543.98,2458.79,2526.17,142808.46,357329388.56
2025-06-08,2526.17,2549.53,2493.72,2510.78,125420.39,315777224.57
2025-06-09,2510.78,2695.13,2479.6,2681.27,315100.2,810951391.12
2025-06-10,2681.27,2826.68,2657.34,2816.15,608857.69,1667701406.47
2025-06-11,2816.15,2879.79,2744.11,2772.57,460948.83,1295621784.12
2025-06-12,2772.57,2785.3,2618.39,2644.51,429956.98,1170537265.0
2025-06-13,2644.51,2646.56,2446.47,2580.25,708734.92,1792683839.24
2025-06-14,2580.25,2580.87,2490.47,2532.75,217795.67,551015115.63
2025-06-15,2532.75,2560.57,2493.32,2548.41,180343.51,456963811.88
2025-06-16,2548.41,2681.43,2516.21,2545.23,480876.31,1256426999.66
2025-06-17,2545.23,2619.34,2454.56,2510.96,483962.49,1226237468.69
2025-06-18,2510.96,2548.88,2466.89,2525.85,350433.02,879550757.97
2025-06-19,2525.85,2547.93,2485.66,2521.84,188266.61,473983171.76
2025-06-20,2521.84,2569.74,2368.96,2407.22,385135.24,949347412.87
2025-06-21,2407.22,2449.16,2217.69,2296.94,299897.17,705748797.49
2025-06-22,2296.94,2314.86,2113.65,2228.57,672272.5,1494221559.94
2025-06-23,2228.57,2439.75,2189.86,2413.17,670703.67,1541484884.73
2025-06-24,2413.17,2483.31,2378.22,2449.69,481281.29,1168281547.61
2025-06-25,2449.69,2469.72,2391.65,2420.23,396227.23,962396741.81
2025-06-26,2420.23,2521.41,2395.33,2417.5,382850.9,937995211.41
2025-06-27,2417.5,2464.25,2384.39,2424.42,301424.86,731599180.91
2025-06-28,2424.42,2449.0,2407.31,2437.55,90039.24,218789309.47
